,text
4768,"So far it’s been very easy to use and set up, everything looks and works great."
4769,This was a great purchase for the price I love the phone works great no issues or damage and the battery life is awesome
4770,The IPhone works well I have no problem with it
4771,It literally an iPhone I love it perfect
4772,This phone is great I was a spectacle at first but once I started using the phone everything works perfect great phone
4773,Beautiful phone but - Could not get it microphone/voice  to work after several hours of reboot/blue tooth off/on/resets and sim card changes I upset everyone I tried to call as they could not hear me- no one at vendor to chat or help resolve- vendor returned emailed me after I already returned iPhone.  I worked with my phone service provider to check out sim card(s) not there- No help available.  I may have been unlucky but glad Amazon returned product.
4774,Excelent
4775,It arrived early and in great condition! I’m really happy that the battery life was at 96% as well so it should be good for a long time!
4776,Fast delivery. It came in just 5 days (3 days earlier than the expected delivery date) and i’m loving my new phone so far! ❤️
4777,I couldn’t be happier. Like a brand new phone! Great price.
4778,Looks brand new and came fast
4779,All functions work properly
4780,I was waiting and ok screen but this one was a very bad screen with a lot of stripes on the screen. I was not able to return because I travel so I really don’t like the cellphone
4781,This meets my needs
4782,It was amazing. Came in just like new. I expected something sketchy but it was amazing and they have some extra things that come with it which is always a plus.
4783,She loved it and it works good too
4784,10/10 :)
4785,This phone was sold and the speakers are not working properly. The ear speaker sounds muffled and the other is blown. This should have been disclosed.
4786,The phone came in perfect condition no scratches or anything so far everything is as in description and it might not come with original charger or headphones but the phone is worth the money paid BUT IT DID NOT COME UNLOCK
4787,"Boy, it sure is a good thing Amazon cares about customer satisfaction. I had to immediately order a replacement after having multiple glitches with installing IOS and setting the phone up, only to discover that the top speaker of the phone was completely blown out. So much so to the point where no call audio was understandable, and the alarms sounded horrible and crackly. It was honestly so disappointing. The phone came with no dents or scratches but is unusable if you plan to make any calls. My battery health came at 94%. The only redeeming quality of the transaction was Amazon’s customer service being very quick to replace my product I paid $530 for. They were wonderful and I’m very impressed with the help they provided. They even expedited shipping for me, which I found to be very kind. I give it one star since the actual product literally wasn’t functional, but the customer service provided by amazon got 5 stars. Hopefully my replacement actually works."
4788,Battery life
4789,The phone is ok but the audio is very low when im on a call . I have to keep  putting it on speaker
4790,I love my new phone! Very happy with this purchase!
4791,The phone I received was like a brand new phone. Works perfect & have no complaints
4792,The phone itself came in perfect condition and it was basically brand new BUT when I tried to place my sim card in and get it working it would not work at all. I went to my carriers store and when they tried they told me my phone was either blacklisted or it was not carrier unlocked (even tho it says the phone is carrier unlocked on amazon). So if you plan on buying this i’d be very cautious about it and just buy it from your carrier or from the apple store.
4793,Nothing
4794,It’s beautiful it looks actually brand new not a scratch on it
4795,More scratches than phone.
4796,Didn't have any issues migrating to our new phone
4797,I purchased this phone for my daughter for her 14th bday and she loves it! The phone appears to be brand new with no scratches on it.
4798,Very real and perfect phone. Does all is is supposed to do. I’m thrilled with this. MB
4799,Fye
4800,no e nota ningun desgaste
4801,Meets Description. Seems new although marked as renewed.
4802,Like how the item came as planned only thing I did not like is how the phone did not come with a charger.
4803,I am enjoying my iPhone
